description,imageUrl,longitude,price,rating,category,latitude,amenities,location,name,id
"Enjoy an unforgettable stay at our luxury hotel, located in the heart of the city. Our resort offers world-class amenities, including a rooftop pool, fine dining and spacious rooms with stunning city views. Whether traveling for business or leisure, our hotel is the perfect destination",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FTajLandsEnd.jpg?alt=media&token=c73133a3-f5c4-4927-a415-92afbda5196c,72.81927700000001,5000,4.2,Luxury,19.044149828218583,"Rooftop Pool, Fine Dining Restaurant, Spa & Wellness Center, Free Wi-Fi, 24/7 Room Service",Mumbai,TajLandsEnd,3ZZUkBQMnWsLTyu0aViC
"​Hotel Shri Gokul Anand, located in Dahisar East, Mumbai, offers 30 well-appointed rooms—including standard, deluxe, and executive categories—with modern amenities such as air conditioning, LED TVs, tea/coffee makers, and complimentary Wi-Fi. The hotel features the in-house Uphaar Family Restaurant, serving a variety of cuisines including North Indian, South Indian, Chinese, and Tandoori dishes. Conveniently situated near Dahisar Railway Station and Sanjay Gandhi National Park, it caters to both business and leisure travelers. Additional facilities include a banquet hall and a terrace garden for events and gatherings. ​",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FShrigokulanand.jpg?alt=media&token=00cb47e3-b794-4c91-9997-0305359d938a,72.8649574915943,3328,3.8,Family,19.2440449173697,"Business Center with Internet Access, Laundry service, Free parking, Restaurant","Shiv Vallabh Road Western Express Highway, Dahisar",Shri Gokul Anand,4kzf23Hbe1RgbArRaSME
"Ellora Guest House is a budget stay in Borivali East, Mumbai, just minutes from the railway station. It offers basic amenities and room service, but reviews mention cleanliness issues. The property is not open to foreign nationals.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FElloraGuestHouse.jpeg?alt=media&token=e8c8116e-3da6-40c5-b4a9-dc5d1652a354,72.8584637983134,1128,2.7,Budget,19.23153839406336,"Bar, Coffee Shop, 24-hour Room Service, Restaurant","Borivali East, Mumbai",Ellora Guest House,5Q0poQFQ5xULTIv9c2vF
"Located in Borivali East, Gagal Home Service Apartment offers comfortable accommodations with essential amenities. The property provides free Wi-Fi, air-conditioned rooms, and a caretaker service. Guests appreciate its proximity to the Western Express Highway and Borivali Railway Station, making it convenient for travel within Mumbai.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FGagalHomeServiceApartment.jpg?alt=media&token=4f1806ce-c1d1-445b-8f81-1940fd5421b3,72.85876543210988,4800,3.6,Budget,19.22765432109876,"caretaker service, air-conditioned rooms, Free Wi-Fi",Borivali East,Gagal Home Service Apartment,8t6QNlsOXDEunnrEnKXC
"The Westin Mumbai Powai Lake is a luxurious 5-star hotel located in Powai, Mumbai, offering stunning views of Powai Lake and the surrounding hills. The hotel features top-notch facilities, including a swimming pool, spa, fitness center, and multiple dining options. Its proximity to the Bombay Exhibition Centre and Bandra Kurla Complex makes it a convenient choice for both business and leisure travelers. ​",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FwestinMumbaipowai1.jpeg?alt=media&token=1371dd74-5cbd-4755-a9f1-b09f326c94b1,72.90137004232895,22730,4.8,Business,19.13499421391343,"Housekeeping, Express check-in/check-out, Paid Airport Transfers, Childcare Services, Swimming Pool","2 and 3B, Near Chinmayanand Ashram",The Westin Mumbai Powai Lake,9vifn8ZbJGruIORwgfcM
"Located in Borivali East, Hotel Adi Ashray offers comfortable accommodations with essential amenities. The hotel provides air-conditioned rooms, free Wi-Fi, and a 24-hour front desk. Guests appreciate its proximity to Borivali Railway Station, making it convenient for travel within Mumbai.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FHotelAdiAshray.jpg?alt=media&token=cab89759-3dee-46f0-b817-e7fb2950ee62,72.85943210987654,3500,3.5,Family,19.22876543210987,"Air-conditioned rooms, free Wi-Fi, 24-hour front desk",Borivali East,Hotel Adi Ashray,Dh5jIvtII8doR4be3ZUY
"Located at Nariman Point, The Oberoi Mumbai offers luxury and convenience in the heart of the city's business district. The hotel features an outdoor heated pool, 24-hour spa, fitness center, and multiple dining options. Guests have praised the elegant design, impeccable service, and stunning views of the Arabian Sea. Its proximity to South Mumbai's shopping and entertainment areas makes it an ideal choice for both business and leisure travelers.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotel_images%2FoberoiMumbai1.jpg?alt=media&token=9efaaabf-c7f9-4947-9c57-68c380ccd1eb,72.82450479362012,20081,4.8,Resorts,18.92502478382913,"Outdoor heated pool, 24-hour spa, fitness center, multiple dining options",Nariman Point,The Oberoi Mumbai,EUfm476mEeDhRPBLuMfx
"​Neeru Rani is a homestay located in Borivali West, Mumbai, offering a 2-bedroom setup suitable for up to 3 guests. The property includes amenities like free Wi-Fi, private parking, and a terrace. It's situated near BMC Garden in Gorai-2, providing convenient access to local attractions. Please note that the property does not allow unmarried couples, pets, or smoking on the premises.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2Fneerurani.jpeg?alt=media&token=83d29ce8-3318-4d52-987b-3e975538f01a,72.82130896740922,15280,4.7,Luxury,19.22670233105246,"Private Access, Wi-Fi, Private Terrace, Private Parking","224 Row House, Near Bmc Garden, Gorai -2, Borivali West",Neeru Rani,KjCrVnmk1IiZtrtvCKf9
"​Hotel Majestic Suites is a 3-star boutique hotel located in Mira Road East, Thane, approximately 640 meters from ISKCON Mandir Sri Sri Radhagiridhari Mandir. The hotel offers air-conditioned rooms equipped with modern amenities and provides free Wi-Fi. Guests can enjoy dining at the on-site restaurant and bar. The hotel has received positive reviews for its hospitality and food quality. ",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FHotelMajesticsuites.jpg?alt=media&token=bce59ca7-3b7e-4500-bf46-e2ffcc87a248,72.87671096578102,2980,4.5,Boutique,19.266250421441182,"Kitchenette, Bar, Lounge, 24-hour Room Service","Mira Road East, Thane",Hotel Majestic Suites,L6xchg3AgtvM6RV35fDj
"Hotel Grand Bella is a 3-star stay in Borivali West, Mumbai, offering air-conditioned rooms with modern amenities. Guests enjoy free Wi-Fi, room service, and daily housekeeping. It’s conveniently located near Marve Beach and about 17.5 km from the airport.",https://firebasestorage.googleapis.com/v0/b/vehicle-rental-2.appspot.com/o/hotels%2FHotelGrandBella1111.jpeg?alt=media&token=d9a89efe-9f47-43e8-afbc-29354c93999f,72.83433546505081,1773,3,Budget,19.22539476575478,"Air Conditioning, Free Wi-Fi, Laundry Service, 24-hour Room Service","Borivali West, Mumbai",Hotel Grand Bella,LOKZ8pbrW2uSYXMTs8q4
